Series Name,Country Name,Year,CO2 Value
Building Energy CO2 Emissions (tonnes),Cambodia,2016,1.0391
Building Energy CO2 Emissions (tonnes),Cambodia,2017,1.1064
Building Energy CO2 Emissions (tonnes),Cambodia,2018,0.9218
Building Energy CO2 Emissions (tonnes),Cambodia,2019,1.1568
Building Energy CO2 Emissions (tonnes),Cambodia,2020,1.4201
Building Energy CO2 Emissions (tonnes),Cambodia,2021,1.56
Building Energy CO2 Emissions (tonnes),Cambodia,2022,1.597
Building Energy CO2 Emissions (tonnes),Cambodia,2023,1.5895
Building Energy CO2 Emissions (tonnes),Cambodia,2024,1.6622
Building Energy CO2 Emissions (tonnes),Cambodia,2025,0.0
Deforestation CO2 Emissions (tonnes),Cambodia,2016,43.708
Deforestation CO2 Emissions (tonnes),Cambodia,2017,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2018,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2019,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2020,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2021,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2022,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2023,32.6168
Deforestation CO2 Emissions (tonnes),Cambodia,2024,0.0
Deforestation CO2 Emissions (tonnes),Cambodia,2025,0.0
Industrial CO2 Emissions (tonnes),Cambodia,2016,0.9402
Industrial CO2 Emissions (tonnes),Cambodia,2017,1.4842
Industrial CO2 Emissions (tonnes),Cambodia,2018,2.0934
Industrial CO2 Emissions (tonnes),Cambodia,2019,3.0883
Industrial CO2 Emissions (tonnes),Cambodia,2020,3.2979
Industrial CO2 Emissions (tonnes),Cambodia,2021,3.6281
Industrial CO2 Emissions (tonnes),Cambodia,2022,3.7106
Industrial CO2 Emissions (tonnes),Cambodia,2023,3.7109
Industrial CO2 Emissions (tonnes),Cambodia,2024,3.7583
Industrial CO2 Emissions (tonnes),Cambodia,2025,0.0
Building Energy CO2 Emissions (tonnes),Indonesia,2016,29.7682
Building Energy CO2 Emissions (tonnes),Indonesia,2017,30.7103
Building Energy CO2 Emissions (tonnes),Indonesia,2018,30.0968
Building Energy CO2 Emissions (tonnes),Indonesia,2019,28.5054
Building Energy CO2 Emissions (tonnes),Indonesia,2020,28.6272
Building Energy CO2 Emissions (tonnes),Indonesia,2021,30.8335
Building Energy CO2 Emissions (tonnes),Indonesia,2022,30.4931
Building Energy CO2 Emissions (tonnes),Indonesia,2023,30.4992
Building Energy CO2 Emissions (tonnes),Indonesia,2024,31.2837
Building Energy CO2 Emissions (tonnes),Indonesia,2025,0.0
Deforestation CO2 Emissions (tonnes),Indonesia,2016,245.5048
Deforestation CO2 Emissions (tonnes),Indonesia,2017,198.4763
Deforestation CO2 Emissions (tonnes),Indonesia,2018,167.3184
Deforestation CO2 Emissions (tonnes),Indonesia,2019,180.3968
Deforestation CO2 Emissions (tonnes),Indonesia,2020,48.0863
Deforestation CO2 Emissions (tonnes),Indonesia,2021,57.1721
Deforestation CO2 Emissions (tonnes),Indonesia,2022,45.7679
Deforestation CO2 Emissions (tonnes),Indonesia,2023,45.7679
Deforestation CO2 Emissions (tonnes),Indonesia,2024,0.0
Deforestation CO2 Emissions (tonnes),Indonesia,2025,0.0
Industrial CO2 Emissions (tonnes),Indonesia,2016,42.2422
Industrial CO2 Emissions (tonnes),Indonesia,2017,46.0074
Industrial CO2 Emissions (tonnes),Indonesia,2018,51.3334
Industrial CO2 Emissions (tonnes),Indonesia,2019,53.1054
Industrial CO2 Emissions (tonnes),Indonesia,2020,50.5601
Industrial CO2 Emissions (tonnes),Indonesia,2021,54.3201
Industrial CO2 Emissions (tonnes),Indonesia,2022,57.1806
Industrial CO2 Emissions (tonnes),Indonesia,2023,59.5064
Industrial CO2 Emissions (tonnes),Indonesia,2024,59.6695
Industrial CO2 Emissions (tonnes),Indonesia,2025,0.0
Building Energy CO2 Emissions (tonnes),Lao PDR,2016,0.0218
Building Energy CO2 Emissions (tonnes),Lao PDR,2017,0.0389
Building Energy CO2 Emissions (tonnes),Lao PDR,2018,0.0396
Building Energy CO2 Emissions (tonnes),Lao PDR,2019,0.0706
Building Energy CO2 Emissions (tonnes),Lao PDR,2020,0.0784
Building Energy CO2 Emissions (tonnes),Lao PDR,2021,0.0786
Building Energy CO2 Emissions (tonnes),Lao PDR,2022,0.0803
Building Energy CO2 Emissions (tonnes),Lao PDR,2023,0.08
Building Energy CO2 Emissions (tonnes),Lao PDR,2024,0.0836
Building Energy CO2 Emissions (tonnes),Lao PDR,2025,0.0
Deforestation CO2 Emissions (tonnes),Lao PDR,2016,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2017,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2018,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2019,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2020,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2021,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2022,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2023,20.058
Deforestation CO2 Emissions (tonnes),Lao PDR,2024,0.0
Deforestation CO2 Emissions (tonnes),Lao PDR,2025,0.0
Industrial CO2 Emissions (tonnes),Lao PDR,2016,1.4512
Industrial CO2 Emissions (tonnes),Lao PDR,2017,1.6747
Industrial CO2 Emissions (tonnes),Lao PDR,2018,2.0113
Industrial CO2 Emissions (tonnes),Lao PDR,2019,2.1459
Industrial CO2 Emissions (tonnes),Lao PDR,2020,2.5312
Industrial CO2 Emissions (tonnes),Lao PDR,2021,5.9025
Industrial CO2 Emissions (tonnes),Lao PDR,2022,5.244
Industrial CO2 Emissions (tonnes),Lao PDR,2023,5.238
Industrial CO2 Emissions (tonnes),Lao PDR,2024,5.2995
Industrial CO2 Emissions (tonnes),Lao PDR,2025,0.0
Building Energy CO2 Emissions (tonnes),Malaysia,2016,5.3278
Building Energy CO2 Emissions (tonnes),Malaysia,2017,8.4073
Building Energy CO2 Emissions (tonnes),Malaysia,2018,6.3711
Building Energy CO2 Emissions (tonnes),Malaysia,2019,6.041
Building Energy CO2 Emissions (tonnes),Malaysia,2020,6.6271
Building Energy CO2 Emissions (tonnes),Malaysia,2021,7.0065
Building Energy CO2 Emissions (tonnes),Malaysia,2022,7.6321
Building Energy CO2 Emissions (tonnes),Malaysia,2023,8.2815
Building Energy CO2 Emissions (tonnes),Malaysia,2024,8.4729
Building Energy CO2 Emissions (tonnes),Malaysia,2025,0.0
Deforestation CO2 Emissions (tonnes),Malaysia,2016,35.69975
Deforestation CO2 Emissions (tonnes),Malaysia,2017,15.74681
Deforestation CO2 Emissions (tonnes),Malaysia,2018,18.54322
Deforestation CO2 Emissions (tonnes),Malaysia,2019,40.85494
Deforestation CO2 Emissions (tonnes),Malaysia,2020,40.85494
Deforestation CO2 Emissions (tonnes),Malaysia,2021,40.85494
Deforestation CO2 Emissions (tonnes),Malaysia,2022,40.85494
Deforestation CO2 Emissions (tonnes),Malaysia,2023,0.0
Deforestation CO2 Emissions (tonnes),Malaysia,2024,0.0
Deforestation CO2 Emissions (tonnes),Malaysia,2025,0.0
Industrial CO2 Emissions (tonnes),Malaysia,2016,18.7088
Industrial CO2 Emissions (tonnes),Malaysia,2017,17.0419
Industrial CO2 Emissions (tonnes),Malaysia,2018,17.5277
Industrial CO2 Emissions (tonnes),Malaysia,2019,16.7057
Industrial CO2 Emissions (tonnes),Malaysia,2020,18.4483
Industrial CO2 Emissions (tonnes),Malaysia,2021,18.9844
Industrial CO2 Emissions (tonnes),Malaysia,2022,19.0481
Industrial CO2 Emissions (tonnes),Malaysia,2023,19.2129
Industrial CO2 Emissions (tonnes),Malaysia,2024,19.5404
Industrial CO2 Emissions (tonnes),Malaysia,2025,0.0
Building Energy CO2 Emissions (tonnes),Mongolia,2016,3.0615
Building Energy CO2 Emissions (tonnes),Mongolia,2017,2.6274
Building Energy CO2 Emissions (tonnes),Mongolia,2018,3.4478
Building Energy CO2 Emissions (tonnes),Mongolia,2019,3.8101
Building Energy CO2 Emissions (tonnes),Mongolia,2020,2.6983
