Indicator,Economy,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Urban Fine Particulate Matter Levels,Brunei Darussalam,7.78,6.89,6.59,6.76,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Cambodia,19.71,17.4,17.73,18.35,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Indonesia,21.71,19.1,19.11,19.93,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Lao People's Democratic Republic,26.23,22.64,22.74,24.19,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Malaysia,25.27,22.49,22.61,23.74,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Myanmar,29.86,26.56,26.67,27.75,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Philippines,25.84,23.38,23.17,24.2,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Singapore,15.48,14.23,13.12,13.33,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Thailand,27.2,24.41,24.55,25.48,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Timor-Leste,22.5,20.76,20.94,21.77,0.0,0.0,0.0,0.0,0.0,0.0
Urban Fine Particulate Matter Levels,Viet Nam,23.64,21.29,21.28,22.12,0.0,0.0,0.0,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,0.68,1.22,1.86,1.2,0.33,2.12,7.46,2.85,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,0.0,0.0,0.0,0.31,0.34,0.29,0.52,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2.47,2.41,3.98,2.43,1.33,2.7,4.72,3.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Lao People's Democratic Republic,0.0,0.22,0.35,0.44,0.49,0.54,0.54,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Malaysia,0.45,0.57,0.51,0.46,0.04,0.66,3.85,1.59,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Myanmar,0.59,1.15,1.87,0.99,0.73,0.85,0.92,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Philippines,-0.0,0.32,0.03,0.01,0.25,0.15,0.29,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Thailand,0.14,0.21,0.21,0.12,0.13,0.4,2.53,0.31,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil-fuel Subsidies and GDP Proportion,Viet Nam,0.04,0.07,0.2,0.15,0.16,1.49,8.92,0.95,0.0,0.0
Urban Population,Brunei Darussalam,76.99,77.31,77.63,77.94,78.25,78.55,78.85,79.15,79.44,0.0
Urban Population,Cambodia,22.58,22.98,23.39,23.8,24.23,24.67,25.11,25.57,26.04,0.0
Urban Population,Indonesia,53.99,54.66,55.32,55.99,56.64,57.29,57.93,58.57,59.2,0.0
Urban Population,Lao People's Democratic Republic,33.74,34.37,35.0,35.65,36.29,36.94,37.59,38.25,38.91,0.0
Urban Population,Malaysia,74.8,75.2,75.6,76.2,75.1,75.3,75.5,75.7,76.0,0.0
Urban Population,Myanmar,30.08,30.32,30.58,30.85,31.14,31.45,31.77,32.11,32.47,0.0
Urban Population,Philippines,46.5,46.7,46.9,47.1,47.4,47.7,48.0,48.3,48.61,0.0
Urban Population,Singapore,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Urban Population,Thailand,49.97,50.99,52.29,53.55,54.79,55.98,57.14,58.22,59.25,0.0
Urban Population,Timor-Leste,29.8,30.2,30.6,30.9,31.3,31.7,32.1,32.5,32.84,0.0
Urban Population,Viet Nam,33.67,33.86,34.22,35.05,36.82,37.12,37.5,38.1,38.46,0.0
Total Greenhouse Gas Emissions,Brunei Darussalam,10232100.0,10229500.0,10457900.0,10126700.0,12574000.0,12332300.0,11887300.0,12157900.0,0.0,0.0
Total Greenhouse Gas Emissions,Cambodia,39489800.0,41401700.0,42257900.0,45772200.0,46509400.0,48160900.0,47599100.0,48774800.0,0.0,0.0
Total Greenhouse Gas Emissions,Indonesia,902771400.0,957373100.0,1055339000.0,1108777700.0,1050339200.0,1077077800.0,1152726000.0,1200199800.0,0.0,0.0
Total Greenhouse Gas Emissions,Lao People's Democratic Republic,30062200.0,33416700.0,33976900.0,33695400.0,34479200.0,38793800.0,40075000.0,42056200.0,0.0,0.0
Total Greenhouse Gas Emissions,Malaysia,292446300.0,280582400.0,297037800.0,297886800.0,294666400.0,299786500.0,315788500.0,325405800.0,0.0,0.0
Total Greenhouse Gas Emissions,Myanmar,127360100.0,143381700.0,119652200.0,119785900.0,121139500.0,119210100.0,118337600.0,115077300.0,0.0,0.0
Total Greenhouse Gas Emissions,Philippines,207981800.0,226178700.0,232333500.0,240153700.0,229349800.0,240411700.0,244525800.0,256147200.0,0.0,0.0
Total Greenhouse Gas Emissions,Singapore,63880900.0,69103000.0,67090400.0,69581500.0,68069500.0,70868400.0,71847000.0,74290100.0,0.0,0.0
Total Greenhouse Gas Emissions,Thailand,430439800.0,433406500.0,430796200.0,436574700.0,433721200.0,429462900.0,442492300.0,440783000.0,0.0,0.0
