Indicator,Economy,Year,Value
Carbon Dioxide Emissions,Brunei Darussalam,2016,7899200.0
Carbon Dioxide Emissions,Brunei Darussalam,2017,7871400.0
Carbon Dioxide Emissions,Brunei Darussalam,2018,8030100.0
Carbon Dioxide Emissions,Brunei Darussalam,2019,7603300.0
Carbon Dioxide Emissions,Brunei Darussalam,2020,9903700.0
Carbon Dioxide Emissions,Brunei Darussalam,2021,9746200.0
Carbon Dioxide Emissions,Brunei Darussalam,2022,9448500.0
Carbon Dioxide Emissions,Brunei Darussalam,2023,9716100.0
Carbon Dioxide Emissions,Brunei Darussalam,2024,0.0
Carbon Dioxide Emissions,Brunei Darussalam,2025,0.0
Carbon Dioxide Emissions,Cambodia,2016,10591100.0
Carbon Dioxide Emissions,Cambodia,2017,11848700.0
Carbon Dioxide Emissions,Cambodia,2018,12335900.0
Carbon Dioxide Emissions,Cambodia,2019,15855100.0
Carbon Dioxide Emissions,Cambodia,2020,16599800.0
Carbon Dioxide Emissions,Cambodia,2021,16777500.0
Carbon Dioxide Emissions,Cambodia,2022,17354500.0
Carbon Dioxide Emissions,Cambodia,2023,17970100.0
Carbon Dioxide Emissions,Cambodia,2024,0.0
Carbon Dioxide Emissions,Cambodia,2025,0.0
Carbon Dioxide Emissions,Indonesia,2016,507076800.0
Carbon Dioxide Emissions,Indonesia,2017,535717200.0
Carbon Dioxide Emissions,Indonesia,2018,597476700.0
Carbon Dioxide Emissions,Indonesia,2019,637310100.0
Carbon Dioxide Emissions,Indonesia,2020,594263400.0
Carbon Dioxide Emissions,Indonesia,2021,619327400.0
Carbon Dioxide Emissions,Indonesia,2022,656669200.0
Carbon Dioxide Emissions,Indonesia,2023,674535900.0
Carbon Dioxide Emissions,Indonesia,2024,0.0
Carbon Dioxide Emissions,Indonesia,2025,0.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2016,15870900.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2017,19244100.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2018,19862100.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2019,19369900.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2020,19437800.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2021,23816600.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2022,24550900.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2023,26020800.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2024,0.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,2025,0.0
Carbon Dioxide Emissions,Malaysia,2016,247568300.0
Carbon Dioxide Emissions,Malaysia,2017,237864500.0
Carbon Dioxide Emissions,Malaysia,2018,254361200.0
Carbon Dioxide Emissions,Malaysia,2019,255207100.0
Carbon Dioxide Emissions,Malaysia,2020,253393400.0
Carbon Dioxide Emissions,Malaysia,2021,258914400.0
Carbon Dioxide Emissions,Malaysia,2022,274342400.0
Carbon Dioxide Emissions,Malaysia,2023,283323500.0
Carbon Dioxide Emissions,Malaysia,2024,0.0
Carbon Dioxide Emissions,Malaysia,2025,0.0
Carbon Dioxide Emissions,Myanmar,2016,22967300.0
Carbon Dioxide Emissions,Myanmar,2017,33734900.0
Carbon Dioxide Emissions,Myanmar,2018,33501900.0
Carbon Dioxide Emissions,Myanmar,2019,34372000.0
Carbon Dioxide Emissions,Myanmar,2020,34706100.0
Carbon Dioxide Emissions,Myanmar,2021,31826200.0
Carbon Dioxide Emissions,Myanmar,2022,32392500.0
Carbon Dioxide Emissions,Myanmar,2023,33368400.0
Carbon Dioxide Emissions,Myanmar,2024,0.0
Carbon Dioxide Emissions,Myanmar,2025,0.0
Carbon Dioxide Emissions,Philippines,2016,121273400.0
Carbon Dioxide Emissions,Philippines,2017,135622400.0
Carbon Dioxide Emissions,Philippines,2018,141312300.0
Carbon Dioxide Emissions,Philippines,2019,147897100.0
Carbon Dioxide Emissions,Philippines,2020,135800200.0
Carbon Dioxide Emissions,Philippines,2021,145586700.0
Carbon Dioxide Emissions,Philippines,2022,150638700.0
Carbon Dioxide Emissions,Philippines,2023,161288300.0
Carbon Dioxide Emissions,Philippines,2024,0.0
Carbon Dioxide Emissions,Philippines,2025,0.0
Carbon Dioxide Emissions,Singapore,2016,52983900.0
Carbon Dioxide Emissions,Singapore,2017,56897600.0
Carbon Dioxide Emissions,Singapore,2018,54225200.0
Carbon Dioxide Emissions,Singapore,2019,55902400.0
Carbon Dioxide Emissions,Singapore,2020,53879300.0
Carbon Dioxide Emissions,Singapore,2021,55689500.0
Carbon Dioxide Emissions,Singapore,2022,55757200.0
Carbon Dioxide Emissions,Singapore,2023,57068300.0
Carbon Dioxide Emissions,Singapore,2024,0.0
Carbon Dioxide Emissions,Singapore,2025,0.0
Carbon Dioxide Emissions,Thailand,2016,276007900.0
Carbon Dioxide Emissions,Thailand,2017,276939600.0
Carbon Dioxide Emissions,Thailand,2018,274585800.0
Carbon Dioxide Emissions,Thailand,2019,284439600.0
Carbon Dioxide Emissions,Thailand,2020,274439000.0
Carbon Dioxide Emissions,Thailand,2021,267491200.0
Carbon Dioxide Emissions,Thailand,2022,275868900.0
Carbon Dioxide Emissions,Thailand,2023,274160000.0
Carbon Dioxide Emissions,Thailand,2024,0.0
Carbon Dioxide Emissions,Thailand,2025,0.0
Carbon Dioxide Emissions,Timor-Leste,2016,660800.0
Carbon Dioxide Emissions,Timor-Leste,2017,688300.0
Carbon Dioxide Emissions,Timor-Leste,2018,680300.0
Carbon Dioxide Emissions,Timor-Leste,2019,654600.0
Carbon Dioxide Emissions,Timor-Leste,2020,649900.0
Carbon Dioxide Emissions,Timor-Leste,2021,665800.0
Carbon Dioxide Emissions,Timor-Leste,2022,712100.0
Carbon Dioxide Emissions,Timor-Leste,2023,702900.0
Carbon Dioxide Emissions,Timor-Leste,2024,0.0
Carbon Dioxide Emissions,Timor-Leste,2025,0.0
Carbon Dioxide Emissions,Viet Nam,2016,224454800.0
Carbon Dioxide Emissions,Viet Nam,2017,230403700.0
Carbon Dioxide Emissions,Viet Nam,2018,283860300.0
Carbon Dioxide Emissions,Viet Nam,2019,338946000.0
Carbon Dioxide Emissions,Viet Nam,2020,352063900.0
Carbon Dioxide Emissions,Viet Nam,2021,341105100.0
Carbon Dioxide Emissions,Viet Nam,2022,324900700.0
Carbon Dioxide Emissions,Viet Nam,2023,372948500.0
Carbon Dioxide Emissions,Viet Nam,2024,0.0
Carbon Dioxide Emissions,Viet Nam,2025,0.0
Deforestation Rate,Brunei Darussalam,2016,0.0
Deforestation Rate,Brunei Darussalam,2017,0.0
Deforestation Rate,Brunei Darussalam,2018,0.0
Deforestation Rate,Brunei Darussalam,2019,0.0
Deforestation Rate,Brunei Darussalam,2020,0.0
Deforestation Rate,Brunei Darussalam,2021,0.0
Deforestation Rate,Brunei Darussalam,2022,0.0
Deforestation Rate,Brunei Darussalam,2023,0.0
Deforestation Rate,Brunei Darussalam,2024,0.0
Deforestation Rate,Brunei Darussalam,2025,0.0
Deforestation Rate,Cambodia,2016,1.76
Deforestation Rate,Cambodia,2017,1.79
Deforestation Rate,Cambodia,2018,1.82
Deforestation Rate,Cambodia,2019,1.86
Deforestation Rate,Cambodia,2020,1.89
Deforestation Rate,Cambodia,2021,1.93
Deforestation Rate,Cambodia,2022,1.97
Deforestation Rate,Cambodia,2023,2.01
Deforestation Rate,Cambodia,2024,0.0
Deforestation Rate,Cambodia,2025,0.0
Deforestation Rate,Indonesia,2016,-0.26
Deforestation Rate,Indonesia,2017,1.39
Deforestation Rate,Indonesia,2018,0.64
Deforestation Rate,Indonesia,2019,0.65
Deforestation Rate,Indonesia,2020,0.65
Deforestation Rate,Indonesia,2021,0.66
Deforestation Rate,Indonesia,2022,0.66
Deforestation Rate,Indonesia,2023,0.67
Deforestation Rate,Indonesia,2024,0.0
Deforestation Rate,Indonesia,2025,0.0
Deforestation Rate,Lao People's Democratic Republic,2016,0.21
Deforestation Rate,Lao People's Democratic Republic,2017,0.21
Deforestation Rate,Lao People's Democratic Republic,2018,0.21
Deforestation Rate,Lao People's Democratic Republic,2019,0.21
Deforestation Rate,Lao People's Democratic Republic,2020,0.21
Deforestation Rate,Lao People's Democratic Republic,2021,0.21
Deforestation Rate,Lao People's Democratic Republic,2022,0.21
Deforestation Rate,Lao People's Democratic Republic,2023,0.21
Deforestation Rate,Lao People's Democratic Republic,2024,0.0
Deforestation Rate,Lao People's Democratic Republic,2025,0.0
Deforestation Rate,Malaysia,2016,0.77
Deforestation Rate,Malaysia,2017,0.26
Deforestation Rate,Malaysia,2018,0.26
Deforestation Rate,Malaysia,2019,0.26
Deforestation Rate,Malaysia,2020,0.26
Deforestation Rate,Malaysia,2021,0.26
Deforestation Rate,Malaysia,2022,0.26
Deforestation Rate,Malaysia,2023,0.26
Deforestation Rate,Malaysia,2024,0.0
Deforestation Rate,Malaysia,2025,0.0
Deforestation Rate,Myanmar,2016,0.97
Deforestation Rate,Myanmar,2017,0.98
Deforestation Rate,Myanmar,2018,0.98
Deforestation Rate,Myanmar,2019,0.99
Deforestation Rate,Myanmar,2020,1.0
Deforestation Rate,Myanmar,2021,1.01
Deforestation Rate,Myanmar,2022,1.03
Deforestation Rate,Myanmar,2023,1.04
Deforestation Rate,Myanmar,2024,0.0
Deforestation Rate,Myanmar,2025,0.0
Deforestation Rate,Philippines,2016,-0.5
Deforestation Rate,Philippines,2017,-0.49
Deforestation Rate,Philippines,2018,-0.49
Deforestation Rate,Philippines,2019,-0.49
Deforestation Rate,Philippines,2020,-0.49
Deforestation Rate,Philippines,2021,-0.49
Deforestation Rate,Philippines,2022,-0.48
Deforestation Rate,Philippines,2023,-0.48
Deforestation Rate,Philippines,2024,0.0
Deforestation Rate,Philippines,2025,0.0
Deforestation Rate,Singapore,2016,1.13
Deforestation Rate,Singapore,2017,1.08
Deforestation Rate,Singapore,2018,1.12
Deforestation Rate,Singapore,2019,1.13
Deforestation Rate,Singapore,2020,1.14
Deforestation Rate,Singapore,2021,1.16
Deforestation Rate,Singapore,2022,1.17
Deforestation Rate,Singapore,2023,1.18
Deforestation Rate,Singapore,2024,0.0
Deforestation Rate,Singapore,2025,0.0
Deforestation Rate,Thailand,2016,0.22
Deforestation Rate,Thailand,2017,0.18
Deforestation Rate,Thailand,2018,0.18
Deforestation Rate,Thailand,2019,0.18
Deforestation Rate,Thailand,2020,0.18
Deforestation Rate,Thailand,2021,0.18
Deforestation Rate,Thailand,2022,0.18
Deforestation Rate,Thailand,2023,0.18
Deforestation Rate,Thailand,2024,0.0
Deforestation Rate,Thailand,2025,0.0
Deforestation Rate,Timor-Leste,2016,0.15
Deforestation Rate,Timor-Leste,2017,0.12
Deforestation Rate,Timor-Leste,2018,0.18
Deforestation Rate,Timor-Leste,2019,0.15
Deforestation Rate,Timor-Leste,2020,0.15
Deforestation Rate,Timor-Leste,2021,0.15
Deforestation Rate,Timor-Leste,2022,0.15
Deforestation Rate,Timor-Leste,2023,0.15
Deforestation Rate,Timor-Leste,2024,0.0
Deforestation Rate,Timor-Leste,2025,0.0
Deforestation Rate,Viet Nam,2016,-2.25
Deforestation Rate,Viet Nam,2017,-0.26
Deforestation Rate,Viet Nam,2018,-0.53
Deforestation Rate,Viet Nam,2019,-0.52
Deforestation Rate,Viet Nam,2020,-0.52
Deforestation Rate,Viet Nam,2021,-0.52
Deforestation Rate,Viet Nam,2022,-0.52
Deforestation Rate,Viet Nam,2023,-0.51
Deforestation Rate,Viet Nam,2024,0.0
Deforestation Rate,Viet Nam,2025,0.0
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2016,0.68
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2017,1.22
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2018,1.86
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2019,1.2
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2020,0.33
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2021,2.12
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2022,7.46
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2023,2.85
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2024,0.0
Fossil-fuel Subsidies and GDP Proportion,Brunei Darussalam,2025,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2016,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2017,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2018,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2019,0.31
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2020,0.34
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2021,0.29
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2022,0.52
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2023,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2024,0.0
Fossil-fuel Subsidies and GDP Proportion,Cambodia,2025,0.0
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2016,2.47
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2017,2.41
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2018,3.98
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2019,2.43
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2020,1.33
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2021,2.7
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2022,4.72
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2023,3.0
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2024,0.0
Fossil-fuel Subsidies and GDP Proportion,Indonesia,2025,0.0
Fossil-fuel Subsidies and GDP Proportion,Lao People's Democratic Republic,2016,0.0
