titles,votes,ratings
The Shawshank Redemption,3200000.0,9.3
The Godfather,2200000.0,9.2
The Dark Knight,3100000.0,9.1
The Godfather Part II,1500000.0,9.0
12 Angry Men,975000.0,9.0
The Lord of the Rings: The Return of the King,2100000.0,9.0
Schindler's List,1600000.0,9.0
The Lord of the Rings: The Fellowship of the Ring,2200000.0,8.9
Pulp Fiction,2400000.0,8.8
"The Good, the Bad and the Ugly",886000.0,8.8
The Lord of the Rings: The Two Towers,1900000.0,8.8
Forrest Gump,2500000.0,8.8
Fight Club,2600000.0,8.8
Inception,2800000.0,8.8
Star Wars: Episode V - The Empire Strikes Back,1500000.0,8.7
The Matrix,2200000.0,8.7
Goodfellas,1400000.0,8.7
Interstellar,2500000.0,8.7
One Flew Over the Cuckoo's Nest,1200000.0,8.6
Se7en,2000000.0,8.6
It's a Wonderful Life,552000.0,8.6
The Silence of the Lambs,1700000.0,8.6
Seven Samurai,400000.0,8.6
Saving Private Ryan,1600000.0,8.6
The Green Mile,1500000.0,8.6
City of God,865000.0,8.6
Life Is Beautiful,807000.0,8.6
Terminator 2: Judgment Day,1300000.0,8.6
Star Wars: Episode IV - A New Hope,1600000.0,8.6
Back to the Future,1400000.0,8.5
Spirited Away,957000.0,8.6
The Pianist,1000000.0,8.5
Gladiator,1800000.0,8.5
Parasite,1100000.0,8.5
Grave of the Fireflies,379000.0,8.5
Psycho,781000.0,8.5
The Lion King,1200000.0,8.5
Harakiri,90000.0,8.6
The Departed,1500000.0,8.5
Whiplash,1100000.0,8.5
The Prestige,1600000.0,8.5
American History X,1300000.0,8.5
Léon: The Professional,1300000.0,8.5
Spider-Man: Across the Spider-Verse,511000.0,8.5
Kill Bill: The Whole Bloody Affair,27000.0,8.8
Cinema Paradiso,315000.0,8.5
Casablanca,652000.0,8.5
The Intouchables,1000000.0,8.5
The Usual Suspects,1200000.0,8.5
Alien,1100000.0,8.5
Django Unchained,1900000.0,8.5
Modern Times,284000.0,8.5
Rear Window,566000.0,8.5
Once Upon a Time in the West,382000.0,8.5
City Lights,215000.0,8.5
Apocalypse Now,766000.0,8.4
WALL·E,1300000.0,8.4
Memento,1400000.0,8.4
Dune: Part Two,719000.0,8.4
Raiders of the Lost Ark,1100000.0,8.4
Avengers: Infinity War,1400000.0,8.4
The Lives of Others,441000.0,8.4
Spider-Man: Into the Spider-Verse,778000.0,8.4
Sunset Boulevard,260000.0,8.4
Witness for the Prosecution,160000.0,8.4
Paths of Glory,237000.0,8.4
The Shining,1200000.0,8.4
The Great Dictator,258000.0,8.4
Inglourious Basterds,1800000.0,8.4
12th Fail,168000.0,8.7
Aliens,836000.0,8.4
High and Low,70000.0,8.4
The Dark Knight Rises,2000000.0,8.4
Avengers: Endgame,1400000.0,8.4
Good Will Hunting,1200000.0,8.4
Coco,697000.0,8.4
Amadeus,465000.0,8.4
Toy Story,1200000.0,8.3
Your Name.,386000.0,8.4
Das Boot,287000.0,8.3
Oldboy,711000.0,8.3
Braveheart,1200000.0,8.3
Princess Mononoke,479000.0,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,549000.0,8.3
3 Idiots,478000.0,8.4
American Beauty,1300000.0,8.3
Capernaum,123000.0,8.4
Singin' in the Rain,281000.0,8.3
Joker,1700000.0,8.3
Once Upon a Time in America,406000.0,8.3
Come and See,121000.0,8.3
Star Wars: Episode VI - Return of the Jedi,1200000.0,8.3
Requiem for a Dream,967000.0,8.3
Toy Story 3,962000.0,8.3
Ikiru,101000.0,8.3
The Hunt,405000.0,8.3
Incendies,247000.0,8.3
Eternal Sunshine of the Spotless Mind,1200000.0,8.3
The Apartment,218000.0,8.3
Lawrence of Arabia,340000.0,8.3
2001: A Space Odyssey,778000.0,8.3
Reservoir Dogs,1200000.0,8.3
Heat,795000.0,8.3
Scarface,1000000.0,8.3
Double Indemnity,180000.0,8.3
Up,1200000.0,8.3
North by Northwest,368000.0,8.3
Like Stars on Earth,230000.0,8.3
Full Metal Jacket,846000.0,8.2
M,182000.0,8.3
Citizen Kane,492000.0,8.2
Amélie,836000.0,8.3
Vertigo,457000.0,8.2
A Separation,276000.0,8.3
Die Hard,1000000.0,8.2
To Kill a Mockingbird,350000.0,8.2
The Sting,299000.0,8.2
Indiana Jones and the Last Crusade,859000.0,8.2
A Clockwork Orange,932000.0,8.2
Metropolis,200000.0,8.2
1917,763000.0,8.2
Snatch,971000.0,8.2
L.A. Confidential,656000.0,8.2
Downfall,398000.0,8.2
The Wolf of Wall Street,1800000.0,8.2
Dangal,240000.0,8.3
Bicycle Thieves,192000.0,8.2
The Truman Show,1400000.0,8.2
Oppenheimer,1000000.0,8.2
Green Book,676000.0,8.2
Shutter Island,1600000.0,8.2
Judgment at Nuremberg,96000.0,8.3
Batman Begins,1700000.0,8.2
Hamilton,138000.0,8.3
For a Few Dollars More,298000.0,8.2
Taxi Driver,1000000.0,8.2
Jurassic Park,1200000.0,8.2
Some Like It Hot,303000.0,8.2
There Will Be Blood,702000.0,8.2
The Kid,145000.0,8.2
The Father,242000.0,8.2
All About Eve,148000.0,8.2
The Sixth Sense,1100000.0,8.2
Ran,151000.0,8.2
Casino,614000.0,8.2
No Country for Old Men,1200000.0,8.2
The Thing,522000.0,8.2
Top Gun: Maverick,847000.0,8.2
Prisoners,923000.0,8.2
Kill Bill: Vol. 1,1300000.0,8.2
Pan's Labyrinth,743000.0,8.2
Unforgiven,466000.0,8.2
A Beautiful Mind,1000000.0,8.2
The Treasure of the Sierra Madre,141000.0,8.2
Howl's Moving Castle,507000.0,8.2
Finding Nemo,1200000.0,8.2
Yojimbo,142000.0,8.2
Klaus,234000.0,8.2
The Great Escape,276000.0,8.2
The Elephant Man,281000.0,8.2
Monty Python and the Holy Grail,601000.0,8.2
The Best of Youth,28000.0,8.4
Dial M for Murder,204000.0,8.1
The Secret in Their Eyes,241000.0,8.2
Gone with the Wind,355000.0,8.2
Demon Slayer: Kimetsu no Yaiba Infinity Castle,65000.0,8.4
Chinatown,375000.0,8.1
"Lock, Stock and Two Smoking Barrels",648000.0,8.1
V for Vendetta,1200000.0,8.1
Catch Me If You Can,1200000.0,8.1
Inside Out,906000.0,8.1
Rashomon,195000.0,8.1
"Three Billboards Outside Ebbing, Missouri",602000.0,8.1
The Chaos Class Failed the Class,30000.0,8.5
Trainspotting,765000.0,8.1
The Bridge on the River Kwai,248000.0,8.1
Harry Potter and the Deathly Hallows: Part 2,1000000.0,8.1
Dead Poets Society,643000.0,8.1
The Wild Robot,216000.0,8.2
Warrior,526000.0,8.1
Fargo,781000.0,8.1
Barry Lyndon,203000.0,8.1
Raging Bull,408000.0,8.1
Ben-Hur,270000.0,8.1
Million Dollar Baby,762000.0,8.1
Mad Max: Fury Road,1200000.0,8.1
Children of Heaven,89000.0,8.2
Hacksaw Ridge,673000.0,8.1
Gran Torino,858000.0,8.1
My Neighbor Totoro,427000.0,8.1
12 Years a Slave,783000.0,8.1
The Grand Budapest Hotel,961000.0,8.1
Ratatouille,933000.0,8.1
Before Sunrise,374000.0,8.1
Memories of Murder,262000.0,8.1
Blade Runner,877000.0,8.1
How to Train Your Dragon,886000.0,8.1
Spider-Man: No Way Home,1000000.0,8.1
Gone Girl,1200000.0,8.1
"Monsters, Inc.",1100000.0,8.1
Jaws,731000.0,8.1
In the Name of the Father,202000.0,8.1
Ford v Ferrari,563000.0,8.1
Wild Tales,237000.0,8.1
The Gold Rush,128000.0,8.1
Mary and Max,201000.0,8.1
Sherlock Jr.,65000.0,8.1
The Deer Hunter,385000.0,8.1
The Wages of Fear,73000.0,8.1
The General,106000.0,8.1
Logan,919000.0,8.1
Rocky,683000.0,8.1
Mr. Smith Goes to Washington,129000.0,8.1
On the Waterfront,177000.0,8.1
Tokyo Story,77000.0,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,1300000.0,8.1
Wild Strawberries,124000.0,8.1
Spotlight,532000.0,8.1
La haine,223000.0,8.1
A Silent Voice: The Movie,138000.0,8.2
The Terminator,997000.0,8.1
Maharaja,80000.0,8.3
The Third Man,194000.0,8.1
The Sound of Music,289000.0,8.1
Jai Bhim,233000.0,8.6
The Big Lebowski,912000.0,8.1
The Best Years of Our Lives,77000.0,8.1
The Seventh Seal,215000.0,8.1
Room,478000.0,8.1
Before Sunset,313000.0,8.1
Hotel Rwanda,391000.0,8.1
Platoon,470000.0,8.1
The Incredibles,892000.0,8.0
Chainsaw Man - The Movie: Reze Arc,47000.0,8.3
Hachi: A Dog's Tale,340000.0,8.1
The Exorcist,495000.0,8.1
Rush,555000.0,8.1
The Wizard of Oz,465000.0,8.1
The Iron Giant,257000.0,8.1
Stand by Me,483000.0,8.1
The Passion of Joan of Arc,68000.0,8.1
My Father and My Son,100000.0,8.2
The Battle of Algiers,75000.0,8.1
The Handmaiden,200000.0,8.1
Network,185000.0,8.1
To Be or Not to Be,49000.0,8.1
Gangs of Wasseypur,113000.0,8.2
Drishyam,108000.0,8.2
The Grapes of Wrath,108000.0,8.1
Drishyam,48000.0,8.4
